condition,stage,scope,metric,value
FIXED_NOISE,raw_policy,gripper,across_run_std_max,0.0
FIXED_NOISE,raw_policy,gripper,within_chunk_delta_mean,0.016285224836699818
FIXED_NOISE,raw_policy,gripper,within_chunk_delta_median,0.015865236520767212
FIXED_NOISE,raw_policy,gripper,within_chunk_delta_p95,0.032033681869506836
FIXED_NOISE,raw_policy,gripper,within_chunk_delta_p99,0.036769747734069824
FIXED_NOISE,raw_policy,gripper,within_chunk_delta_max,0.036769747734069824
FIXED_NOISE,raw_policy,gripper,within_chunk_second_delta_mean,0.027810709550976753
FIXED_NOISE,raw_policy,gripper,within_chunk_second_delta_median,0.02297961711883545
FIXED_NOISE,raw_policy,gripper,within_chunk_second_delta_p95,0.05642634630203247
FIXED_NOISE,raw_policy,gripper,within_chunk_second_delta_p99,0.06477075815200806
FIXED_NOISE,raw_policy,gripper,within_chunk_second_delta_max,0.06477075815200806
FIXED_NOISE,raw_policy,gripper,oscillation_ratio,0.7192982456140351
FIXED_NOISE,raw_policy,arms,across_run_std_mean,0.0
FIXED_NOISE,raw_policy,arms,across_run_std_median,0.0
FIXED_NOISE,raw_policy,arms,across_run_std_p95,0.0
FIXED_NOISE,raw_policy,arms,across_run_std_p99,0.0
FIXED_NOISE,raw_policy,arms,across_run_std_max,0.0
FIXED_NOISE,raw_policy,arms,within_chunk_delta_mean,0.07121376966943546
FIXED_NOISE,raw_policy,arms,within_chunk_delta_median,0.06874310970306396
FIXED_NOISE,raw_policy,arms,within_chunk_delta_p95,0.13280683755874634
FIXED_NOISE,raw_policy,arms,within_chunk_delta_p99,0.13560277223587036
FIXED_NOISE,raw_policy,arms,within_chunk_delta_max,0.13560277223587036
FIXED_NOISE,raw_policy,arms,within_chunk_second_delta_mean,0.08071764892277618
FIXED_NOISE,raw_policy,arms,within_chunk_second_delta_median,0.07285994291305542
FIXED_NOISE,raw_policy,arms,within_chunk_second_delta_p95,0.13297207653522491
FIXED_NOISE,raw_policy,arms,within_chunk_second_delta_p99,0.20322558283805847
FIXED_NOISE,raw_policy,arms,within_chunk_second_delta_max,0.20322558283805847
FIXED_NOISE,raw_policy,arms,oscillation_ratio,0.5
FIXED_NOISE,robot_unit,all,across_run_std_mean,0.0
FIXED_NOISE,robot_unit,all,across_run_std_median,0.0
FIXED_NOISE,robot_unit,all,across_run_std_p95,0.0
FIXED_NOISE,robot_unit,all,across_run_std_p99,0.0
FIXED_NOISE,robot_unit,all,across_run_std_max,0.0
FIXED_NOISE,robot_unit,all,within_chunk_delta_mean,0.02675425002769548
FIXED_NOISE,robot_unit,all,within_chunk_delta_median,0.024071570485830307
FIXED_NOISE,robot_unit,all,within_chunk_delta_p95,0.05378267914056778
FIXED_NOISE,robot_unit,all,within_chunk_delta_p99,0.05611683428287506
FIXED_NOISE,robot_unit,all,within_chunk_delta_max,0.05611683428287506
FIXED_NOISE,robot_unit,all,within_chunk_second_delta_mean,0.028768838693698246
FIXED_NOISE,robot_unit,all,within_chunk_second_delta_median,0.027014613151550293
FIXED_NOISE,robot_unit,all,within_chunk_second_delta_p95,0.05283474922180176
FIXED_NOISE,robot_unit,all,within_chunk_second_delta_p99,0.059415340423583984
FIXED_NOISE,robot_unit,all,within_chunk_second_delta_max,0.059415340423583984
FIXED_NOISE,robot_unit,all,oscillation_ratio,0.4666666666666667
FIXED_NOISE,robot_unit,right_arm,across_run_std_mean,0.0
FIXED_NOISE,robot_unit,right_arm,across_run_std_median,0.0
FIXED_NOISE,robot_unit,right_arm,across_run_std_p95,0.0
FIXED_NOISE,robot_unit,right_arm,across_run_std_p99,0.0
FIXED_NOISE,robot_unit,right_arm,across_run_std_max,0.0
FIXED_NOISE,robot_unit,right_arm,within_chunk_delta_mean,0.011119303350545923
FIXED_NOISE,robot_unit,right_arm,within_chunk_delta_median,0.010394454002380371
FIXED_NOISE,robot_unit,right_arm,within_chunk_delta_p95,0.018140166997909546
FIXED_NOISE,robot_unit,right_arm,within_chunk_delta_p99,0.02321779727935791
FIXED_NOISE,robot_unit,right_arm,within_chunk_delta_max,0.02321779727935791
FIXED_NOISE,robot_unit,right_arm,within_chunk_second_delta_mean,0.01914392194400231
FIXED_NOISE,robot_unit,right_arm,within_chunk_second_delta_median,0.01744505763053894
FIXED_NOISE,robot_unit,right_arm,within_chunk_second_delta_p95,0.029657110571861267
FIXED_NOISE,robot_unit,right_arm,within_chunk_second_delta_p99,0.040100932121276855
FIXED_NOISE,robot_unit,right_arm,within_chunk_second_delta_max,0.040100932121276855
